,year,quantity,load_factor,breakdown_voltage,water_content,acidity,color,interfacial_tension,h2,ch4,c2h6,c2h4,c2h2,co,coh2,impact_index,hi1,hi2,hi3,hi4
0,1990,,,,,,,,,,,,,,,,,,,
1,1991,,,,,,,,,,,,,,,,,,,
2,1992,,,,,,,,,,,,,,,,,,,
3,1993,,,84.3,7.0,0.022,1.5,26.1,,,,,,,,,,50.0,0.029902289,75.0
4,1994,,,,,,,,,,,,,,,,,,,
5,1995,,,,,,,,,,,,,,,,,,,
6,1996,,,91.4,6.0,0.037,2.0,23.5,35.0,18.0,166.0,13.0,0.0,288.0,3.8,,,34.375,1.4806763,50.0
7,1997,0.03,,89.4,8.9,0.037,2.25,23.9,63.0,15.0,136.0,11.0,0.0,348.0,4.9,,,50.0,5.896674,60.869564
8,1998,0.0,,84.7,7.3,0.052,2.75,22.0,47.2,12.2,125.5,11.8,0.0,446.3,7.28,,,,3.7348454,52.173912
9,1999,,,,,,,,,,,,,,,,,,,
10,2000,0.0,,66.1,8.9,0.049,3.0,21.2,63.0,9.4,77.0,5.6,0.0,437.0,8.03,,,,3.710648,63.04348
11,2001,0.02,,86.2,8.1,0.084,3.0,22.1,28.0,18.0,74.0,33.0,0.0,348.0,6.93,,,,4.948011,73.91304
12,2002,0.0,,69.9,7.4,0.088,2.75,19.8,21.9,8.9,55.4,29.7,0.0,329.2,8.78,0.0,32.5,76.36364,2.936339,
13,2003,0.03,,82.0,7.2,0.074,2.75,19.1,43.6,8.7,54.8,22.4,0.0,425.4,6.41,0.0,31.926796,72.72727,4.6036134,
14,2004,0.02,,73.7,11.1,0.114,3.25,18.8,46.9,7.2,32.1,10.0,0.0,393.4,4.45,0.0,31.521167,,4.075532,
15,2005,0.0,,57.8,10.9,0.131,3.25,18.4,47.2,8.4,28.2,6.4,0.0,452.7,6.77,2.0,31.180694000000003,76.36364,2.9293046,
16,2006,0.06,,54.4,18.6,0.151,3.25,17.9,91.6,16.1,24.5,8.2,0.0,852.2,14.96,0.0,31.163559,,6.9342976,
17,2007,0.0,,61.3,9.3,0.142,3.25,17.8,29.7,8.2,19.6,8.2,0.0,472.8,11.23,0.0,32.075694999999996,,2.4969535,
18,2008,0.06,,48.0,12.4,0.112,3.25,18.4,30.9,6.0,13.6,5.7,0.0,457.4,10.58,,32.496918,,4.277233,
19,2009,0.08,,79.7,13.2,0.115,3.25,17.7,37.5,6.2,10.3,2.8,0.0,513.0,9.36,0.0,33.549367000000004,,4.721555,
20,2010,0.07,,78.3,9.6,0.123,3.5,17.9,31.2,5.9,10.2,2.6,0.0,438.6,10.93,,33.86997,,4.393237,
21,2011,,0.5396825458333333,,,,,,,,,,,,,,,71.0,9.083801750000001,
22,2012,0.07,0.5119047683333334,90.7,8.7,0.138,3.5,17.9,19.2,5.7,7.3,2.7,0.0,385.4,6.61,2.0,35.564102,,9.028164653846154,
23,2013,,0.5049603158333332,,,,,,,,,,,,,,,,9.114318999999998,
24,2014,0.07,0.50165344,89.2,8.8,0.176,3.5,17.9,20.1,6.6,7.8,7.2,0.0,417.0,6.59,1.0,34.541097,,9.413313307692308,
25,2015,0.07,0.50363757,79.0,10.0,0.14,3.5,17.9,29.0,6.0,4.0,0.09,0.09,442.0,6.2,0.0,34.708672,,9.497069346153847,
26,2016,0.06,0.45039682833333333,61.0,11.0,0.11,3.5,18.0,14.0,5.0,6.0,2.0,0.09,291.0,6.02,0.0,35.4136965,,8.944763615384614,
27,2017,,,,,,,,,,,,,,,0.0,36.18788,,,
28,2018,,,,,,,,,,,,,,,,,,,
29,2019,,,,,,,,,,,,,,,,,,,
30,2020,,,,,,,,,,,,,,,,,,,
